,name,waveform_count,timebins,class
0,AM11_4Tastes_191029_171714_repacked_unit0,735,75,pos
1,AM11_4Tastes_191029_171714_repacked_unit1,735,75,pos
2,AM11_4Tastes_191029_171714_repacked_unit10,735,75,pos
3,AM11_4Tastes_191029_171714_repacked_unit11,735,75,pos
4,AM11_4Tastes_191029_171714_repacked_unit12,735,75,pos
5,AM11_4Tastes_191029_171714_repacked_unit2,735,75,pos
6,AM11_4Tastes_191029_171714_repacked_unit3,735,75,pos
7,AM11_4Tastes_191029_171714_repacked_unit4,735,75,pos
8,AM11_4Tastes_191029_171714_repacked_unit5,735,75,pos
9,AM11_4Tastes_191029_171714_repacked_unit6,735,75,pos
10,AM11_4Tastes_191029_171714_repacked_unit7,735,75,pos
11,AM11_4Tastes_191029_171714_repacked_unit8,735,75,pos
12,AM11_4Tastes_191029_171714_repacked_unit9,735,75,pos
13,AM12_4Tastes_191106_085215_repacked_unit0,735,75,pos
14,AM12_4Tastes_191106_085215_repacked_unit1,735,75,pos
15,AM12_4Tastes_191106_085215_repacked_unit10,735,75,pos
16,AM12_4Tastes_191106_085215_repacked_unit11,735,75,pos
17,AM12_4Tastes_191106_085215_repacked_unit12,735,75,pos
18,AM12_4Tastes_191106_085215_repacked_unit13,735,75,pos
19,AM12_4Tastes_191106_085215_repacked_unit14,735,75,pos
20,AM12_4Tastes_191106_085215_repacked_unit15,735,75,pos
21,AM12_4Tastes_191106_085215_repacked_unit16,735,75,pos
22,AM12_4Tastes_191106_085215_repacked_unit17,735,75,pos
23,AM12_4Tastes_191106_085215_repacked_unit2,735,75,pos
24,AM12_4Tastes_191106_085215_repacked_unit3,735,75,pos
25,AM12_4Tastes_191106_085215_repacked_unit4,735,75,pos
26,AM12_4Tastes_191106_085215_repacked_unit5,735,75,pos
27,AM12_4Tastes_191106_085215_repacked_unit6,735,75,pos
28,AM12_4Tastes_191106_085215_repacked_unit7,735,75,pos
29,AM12_4Tastes_191106_085215_repacked_unit8,735,75,pos
30,AM12_4Tastes_191106_085215_repacked_unit9,735,75,pos
31,AM12_4Tastes_191107_084707_repacked_unit0,735,75,pos
32,AM12_4Tastes_191107_084707_repacked_unit1,735,75,pos
33,AM12_4Tastes_191107_084707_repacked_unit10,735,75,pos
34,AM12_4Tastes_191107_084707_repacked_unit11,735,75,pos
35,AM12_4Tastes_191107_084707_repacked_unit12,735,75,pos
36,AM12_4Tastes_191107_084707_repacked_unit2,735,75,pos
37,AM12_4Tastes_191107_084707_repacked_unit3,735,75,pos
38,AM12_4Tastes_191107_084707_repacked_unit4,735,75,pos
39,AM12_4Tastes_191107_084707_repacked_unit5,735,75,pos
40,AM12_4Tastes_191107_084707_repacked_unit6,735,75,pos
41,AM12_4Tastes_191107_084707_repacked_unit7,735,75,pos
42,AM12_4Tastes_191107_084707_repacked_unit8,735,75,pos
43,AM12_4Tastes_191107_084707_repacked_unit9,735,75,pos
44,AM17_4Tastes_191125_084206_repacked_unit0,735,75,pos
45,AM17_4Tastes_191125_084206_repacked_unit1,735,75,pos
46,AM17_4Tastes_191125_084206_repacked_unit10,735,75,pos
47,AM17_4Tastes_191125_084206_repacked_unit11,735,75,pos
48,AM17_4Tastes_191125_084206_repacked_unit12,735,75,pos
49,AM17_4Tastes_191125_084206_repacked_unit13,735,75,pos
50,AM17_4Tastes_191125_084206_repacked_unit14,735,75,pos
51,AM17_4Tastes_191125_084206_repacked_unit15,735,75,pos
52,AM17_4Tastes_191125_084206_repacked_unit16,735,75,pos
53,AM17_4Tastes_191125_084206_repacked_unit17,735,75,pos
54,AM17_4Tastes_191125_084206_repacked_unit18,735,75,pos
55,AM17_4Tastes_191125_084206_repacked_unit19,735,75,pos
56,AM17_4Tastes_191125_084206_repacked_unit2,735,75,pos
57,AM17_4Tastes_191125_084206_repacked_unit20,735,75,pos
58,AM17_4Tastes_191125_084206_repacked_unit3,735,75,pos
59,AM17_4Tastes_191125_084206_repacked_unit4,735,75,pos
60,AM17_4Tastes_191125_084206_repacked_unit5,735,75,pos
61,AM17_4Tastes_191125_084206_repacked_unit6,735,75,pos
62,AM17_4Tastes_191125_084206_repacked_unit7,735,75,pos
63,AM17_4Tastes_191125_084206_repacked_unit8,735,75,pos
64,AM17_4Tastes_191125_084206_repacked_unit9,735,75,pos
65,AM17_4Tastes_191126_084934_repacked_unit0,735,75,pos
66,AM17_4Tastes_191126_084934_repacked_unit1,735,75,pos
67,AM17_4Tastes_191126_084934_repacked_unit10,735,75,pos
68,AM17_4Tastes_191126_084934_repacked_unit11,735,75,pos
69,AM17_4Tastes_191126_084934_repacked_unit12,735,75,pos
70,AM17_4Tastes_191126_084934_repacked_unit13,735,75,pos
71,AM17_4Tastes_191126_084934_repacked_unit14,735,75,pos
72,AM17_4Tastes_191126_084934_repacked_unit15,735,75,pos
73,AM17_4Tastes_191126_084934_repacked_unit2,735,75,pos
74,AM17_4Tastes_191126_084934_repacked_unit3,735,75,pos
75,AM17_4Tastes_191126_084934_repacked_unit4,735,75,pos
76,AM17_4Tastes_191126_084934_repacked_unit5,735,75,pos
77,AM17_4Tastes_191126_084934_repacked_unit6,735,75,pos
78,AM17_4Tastes_191126_084934_repacked_unit7,735,75,pos
79,AM17_4Tastes_191126_084934_repacked_unit8,735,75,pos
