Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
0,0,0,2,2,2,1,0.0,0,0,0,2,0,60.585867166519165,9.775161743164062e-05,1.1920928955078125e-06,0.0,0.0,0.0
1,0.0,0,4,4,2,1,0.0,0,0,0,2,0,60.585932970047,0.00013256072998046875,1.6689300537109375e-06,0.0,0.0,5.0067901611328125e-06
2,0.0,0,5,5,2,1,0.0,0,0,0,1,0,60.585981607437134,0.00015783309936523438,1.9073486328125e-06,0.0,0.0,7.867813110351562e-06
3,0.0,0,6,6,4,1,2.0,0,0,0,1,0,60.586034059524536,0.0001876354217529297,2.384185791015625e-06,0.0,0.0,1.0013580322265625e-05
4,0.0,0,7,7,5,3,2.0,0,0,0,1,0,60.58609938621521,0.00022149085998535156,2.6226043701171875e-06,0.0,0.0,1.2159347534179688e-05
5,0.0,0,8,8,3,1,2.0,0,0,0,1,0,60.586161375045776,0.00025153160095214844,3.0994415283203125e-06,0.0,0.0,1.4066696166992188e-05
6,0.0,0,10,10,2,1,0.0,0,0,0,2,0,60.58621072769165,0.0002808570861816406,3.337860107421875e-06,0.0,0.0,1.5735626220703125e-05
7,0.0,0,11,11,4,1,1.0,0,0,0,1,0,60.586262941360474,0.00031304359436035156,3.814697265625e-06,0.0,0.0,1.7642974853515625e-05
8,0.0,0,11,11,9,5,4.8,0,0,0,0,0,60.586318492889404,0.0003361701965332031,4.0531158447265625e-06,0.0,0.0,1.9311904907226562e-05
9,0.0,0,11,11,8,4,7.5,0,0,0,0,0,60.586368560791016,0.0003578662872314453,4.5299530029296875e-06,0.0,0.0,2.1219253540039062e-05
10,0.0,0,13,13,2,1,0.0,0,0,0,2,0,60.586421489715576,0.0003914833068847656,4.76837158203125e-06,0.0,0.0,2.2649765014648438e-05
11,0.3333333333333333,0,13,13,9,5,7.8,0,0,0,0,0,60.58647871017456,0.0004169940948486328,5.0067901611328125e-06,0.0,0.0,2.4557113647460938e-05
12,0.3333333333333333,0,13,13,9,5,8.8,0,0,0,0,0,60.586533069610596,0.0004405975341796875,5.245208740234375e-06,0.0,0.0,2.6464462280273438e-05
13,0.5,0,14,14,5,2,5.0,0,0,0,1,0,60.5865912437439,0.00047588348388671875,5.4836273193359375e-06,0.0,0.0,2.7894973754882812e-05
14,0.6,0,14,14,8,4,12.5,0,0,0,0,0,60.586642026901245,0.0004990100860595703,5.7220458984375e-06,0.0,0.0,2.956390380859375e-05
15,0.6666666666666666,0,14,14,7,3,13.666666666666666,0,0,0,0,0,60.58668828010559,0.0005209445953369141,5.9604644775390625e-06,0.0,0.0,3.147125244140625e-05
16,0.5714285714285714,0,14,14,5,2,14.5,0,0,0,0,0,60.58673024177551,0.0005414485931396484,6.198883056640625e-06,0.0,0.0,3.314018249511719e-05
17,0.5714285714285714,0,14,14,7,3,13.333333333333334,0,0,0,0,0,60.58677697181702,0.0005631446838378906,6.67572021484375e-06,0.0,0.0,3.457069396972656e-05
18,0.5714285714285714,0,14,14,10,5,14.8,0,0,0,0,0,60.58683252334595,0.00058746337890625,6.9141387939453125e-06,0.0,0.0,3.62396240234375e-05
19,0.625,0,14,14,7,4,15.5,0,0,0,0,0,60.58688163757324,0.0006105899810791016,7.152557373046875e-06,0.0,0.0,3.790855407714844e-05
20,0.6666666666666666,0,14,14,9,4,18.5,0,0,0,0,0,60.58693265914917,0.0006349086761474609,7.3909759521484375e-06,0.0,0.0,3.9577484130859375e-05
