N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,"-0.7825382014353778,2.148032696868507","-2.570309437020894,0.8014862308953322","-3.4392314811984286,1.2451653276301244","-0.6895548894691392,2.824360201413545","-2.225794535902167,1.8916849720768985","-2.353061448548532,0.9453830363881226","-2.504865217015748,3.2371580752552314","-2.3122514807448353,1.482433663253436",#,0,4.7485966751036656e-05,522.914619806803,441.8457578572211,5.938086934838695e-10,1,135.19032149256455,4986,0,0.8,0.0023408984309572283,564,1450
#,"-0.6255433318833837,1.991037827316513","-3.643153513176057,1.8743303070504949","-3.397406509691031,1.2033403561227267",#,#,#,"-1.6381447200691852,2.3704375783086684",#,#,1,1.2478238794692017e-06,897.9190624983437,189.13447704462752,4.1318684418879464e-08,1,143.71611135413445,4985,0,0.4,0.03375726412622454,1430,2550
"-1.0501174214842235,0.09720638902325746","-0.8309544435461265,0.7389942519738115",#,#,#,"-3.021186398508016,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,0.0044902225096363265,997.3961788360463,13.338464248874098,0.02368486177815986,1,146.47153087725582,4985,1,0.5,9.51220756903422e-06,1179,1672
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.22387860687957295",#,"-2.935693770748367,2.166952753154164",#,#,#,"-2.093689437498543,1.0481723639327476",#,"-3.70663807051699,2.715936454190438",1,0.0002640152831448074,976.6797001335208,68.62436227239826,6.570650877342876e-06,1,143.9433473940311,4985,2,0.5,0.00018988232555097132,1505,2121
#,#,#,#,#,"-0.9211276512766755,3.4536943259510817","-1.9853763567986729,0.6364641312278985","-2.8619538723859654,2.7717293577666937",#,#,0,1.8312033925792e-05,651.699628185536,408.8347683771948,8.75509552266811e-10,1,126.90801212996735,4986,6,0.3,0.003429976418239317,1358,3033
"-1.860713653646112,0.5351684212371569",#,"-2.8702643947255506,1.5743753493458383",#,#,"0.4561555762480214,4.2305117918954975",#,#,"-2.892314844190147,2.637083508493048","-2.5770976603840845,2.927966217936567",1,0.0002956679827411231,785.6299147941019,211.98972128405114,2.335747973271961e-08,1,137.09988316559952,4998,7,0.5,0.00023889804604331315,587,953
"1.1034503496149077,2.790691247420027","-2.139148345923748,0.6867593060121407",#,#,#,"-1.5496440072422861,2.9967396161512654",#,#,"-1.8934833439832341,2.7685584043574987",#,0,0.004525535354216727,966.1195279231226,93.71930238383962,1.383103766653212e-06,4,121.05290098808905,4952,10,0.4,0.0003519066518135176,584,789
#,#,"-1.3282086510378885,0.5875843420963309","-2.8650391915335525,0.9828581871470446",#,#,"-2.688300572407724,2.8091069024867004","-2.599170548261492,1.7344319364713225","-2.576222742442859,2.0858190058978736",#,0,5.798971342521238e-06,652.1646692626655,414.297069484331,8.192957335377113e-10,1,142.05951821543803,4982,23,0.5,0.020142882933627527,1045,2476
"0.7057881186119959,3.2366494653196742",#,#,"-1.1181890528947045,1.0567094654899807",#,"-3.6050951888272045,-0.17386226551131667","-1.9905358583099064,3.083994118515716",#,"-3.0551562106893164,1.8237246887370326","-3.1476527808256054,5.339320698252067",1,1.0865657034909027e-05,5.838585288043598,26.77885397475031,0.0007261729456207467,1,129.9877591063168,4885,26,0.6,0.009836683951447635,83,285
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.366462031855363","-2.757227967323857,0.38467254141626306","-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668",#,#,"-0.6742739527914051,2.2530545868644043",#,1,0.00017843727229458725,995.8851518785249,19.109457183395026,0.0039242642676995485,2,176.13470003233255,4436,30,0.7,0.0032465462450032468,106,170
